date,ET_mm
2024-10-01,0.248
2024-10-02,0.278
2024-10-03,0.216
2024-10-04,0.205
2024-10-05,0.142
2024-10-06,0.077
2024-10-07,0.055
2024-10-08,0.038
2024-10-09,0.032
2024-10-10,0.025
2024-10-11,0.023
2024-10-12,0.021
2024-10-13,0.016
2024-10-14,0.016
2024-10-15,0.017
2024-10-16,0.012
2024-10-17,0.015
2024-10-18,0.023
2024-10-19,0.012
2024-10-20,0.012
2024-10-21,0.015
2024-10-22,0.012
2024-10-23,0.015
2024-10-24,0.01
2024-10-25,0.009
2024-10-26,0.014
2024-10-27,0.01
2024-10-28,0.008
2024-10-29,0.009
2024-10-30,0.007
2024-10-31,0.01
2024-11-01,0.01
2024-11-02,0.006
2024-11-03,0.014
2024-11-04,0.014
2024-11-05,0.016
2024-11-06,0.015
2024-11-07,0.009
2024-11-08,0.007
2024-11-09,0.01
2024-11-10,0.062
2024-11-11,0.097
2024-11-12,0.144
2024-11-13,0.167
2024-11-14,0.25
2024-11-15,0.29
2024-11-16,0.43
2024-11-17,0.326
2024-11-18,0.586
2024-11-19,0.452
2024-11-20,1.056
2024-11-21,1.214
2024-11-22,1.012
2024-11-23,0.247
2024-11-24,0.323
2024-11-25,0.423
2024-11-26,0.152
2024-11-27,0.286
2024-11-28,0.332
2024-11-29,0.24
2024-11-30,0.258
2024-12-01,0.425
2024-12-02,0.35
2024-12-03,0.432
2024-12-04,0.356
2024-12-05,0.559
2024-12-06,0.447
2024-12-07,0.407
2024-12-08,0.445
2024-12-09,0.392
2024-12-10,0.516
2024-12-11,0.593
2024-12-12,0.481
2024-12-13,0.415
2024-12-14,0.515
2024-12-15,0.301
2024-12-16,0.362
2024-12-17,0.264
2024-12-18,0.272
2024-12-19,0.291
2024-12-20,0.347
2024-12-21,0.344
2024-12-22,0.471
2024-12-23,0.429
2024-12-24,0.132
2024-12-25,0.329
2024-12-26,0.433
2024-12-27,0.692
2024-12-28,0.4
2024-12-29,0.337
2024-12-30,0.254
2024-12-31,0.407
2025-01-01,0.321
2025-01-02,0.295
2025-01-03,0.273
2025-01-04,0.435
2025-01-05,0.347
2025-01-06,0.12
2025-01-07,0.34
2025-01-08,0.272
2025-01-09,0.288
2025-01-10,0.511
2025-01-11,0.773
2025-01-12,0.538
2025-01-13,0.349
2025-01-14,0.474
2025-01-15,0.53
2025-01-16,0.4
2025-01-17,0.496
2025-01-18,0.301
2025-01-19,0.351
2025-01-20,0.337
2025-01-21,0.405
2025-01-22,0.368
2025-01-23,0.495
2025-01-24,0.416
2025-01-25,0.299
2025-01-26,0.267
2025-01-27,0.417
2025-01-28,0.361
2025-01-29,0.389
2025-01-30,0.503
2025-01-31,0.588
2025-02-01,0.632
2025-02-02,0.857
2025-02-03,1.013
2025-02-04,0.341
2025-02-05,0.684
2025-02-06,1.164
2025-02-07,0.902
2025-02-08,1.478
2025-02-09,1.546
2025-02-10,1.47
2025-02-11,1.467
2025-02-12,1.235
2025-02-13,1.358
2025-02-14,0.698
2025-02-15,1.014
2025-02-16,0.92
2025-02-17,1.186
2025-02-18,1.344
2025-02-19,0.913
2025-02-20,1.125
2025-02-21,0.96
2025-02-22,1.129
2025-02-23,1.253
2025-02-24,1.098
2025-02-25,1.333
2025-02-26,1.225
2025-02-27,1.268
2025-02-28,1.538
2025-03-01,1.694
2025-03-02,0.973
2025-03-03,1.549
2025-03-04,1.148
2025-03-05,0.666
2025-03-06,1.397
2025-03-07,2.661
2025-03-08,2.638
2025-03-09,3.02
2025-03-10,2.515
2025-03-11,2.546
2025-03-12,2.189
2025-03-13,1.363
2025-03-14,1.137
2025-03-15,1.656
2025-03-16,2.117
2025-03-17,1.609
2025-03-18,2.51
2025-03-19,2.359
2025-03-20,2.834
2025-03-21,3.063
2025-03-22,2.193
2025-03-23,3.084
2025-03-24,3.102
2025-03-25,3.303
2025-03-26,3.007
2025-03-27,1.609
2025-03-28,2.056
2025-03-29,2.728
2025-03-30,2.083
2025-03-31,1.546
2025-04-01,1.476
2025-04-02,2.343
2025-04-03,2.46
2025-04-04,3.047
2025-04-05,2.761
2025-04-06,2.849
2025-04-07,2.381
2025-04-08,2.822
2025-04-09,2.89
2025-04-10,3.043
2025-04-11,2.886
2025-04-12,2.45
2025-04-13,3.017
2025-04-14,2.926
2025-04-15,2.535
2025-04-16,2.23
2025-04-17,2.048
2025-04-18,2.48
2025-04-19,2.507
2025-04-20,2.546
2025-04-21,2.659
2025-04-22,2.523
2025-04-23,2.17
2025-04-24,1.948
2025-04-25,1.479
2025-04-26,1.268
2025-04-27,0.947
2025-04-28,1.641
2025-04-29,2.108
2025-04-30,1.762
2025-05-01,2.136
2025-05-02,2.129
2025-05-03,1.546
2025-05-04,1.868
2025-05-05,2.017
2025-05-06,1.769
2025-05-07,1.28
2025-05-08,1.085
2025-05-09,0.898
2025-05-10,0.378
2025-05-11,0.31
2025-05-12,0.01
2025-05-13,0.146
2025-05-14,0.334
2025-05-15,0.533
2025-05-16,0.787
2025-05-17,0.817
2025-05-18,1.145
2025-05-19,1.635
2025-05-20,1.644
2025-05-21,1.742
2025-05-22,1.668
2025-05-23,1.329
2025-05-24,1.377
2025-05-25,1.327
2025-05-26,1.255
2025-05-27,1.246
2025-05-28,1.286
2025-05-29,1.414
2025-05-30,1.453
2025-05-31,1.72
2025-06-01,1.418
2025-06-02,1.164
2025-06-03,1.289
2025-06-04,1.463
2025-06-05,1.373
2025-06-06,1.328
2025-06-07,1.482
2025-06-08,1.372
2025-06-09,1.553
2025-06-10,1.482
2025-06-11,1.467
2025-06-12,1.479
2025-06-13,1.502
2025-06-14,1.327
2025-06-15,1.482
2025-06-16,1.554
2025-06-17,1.483
2025-06-18,1.641
2025-06-19,1.472
2025-06-20,1.193
2025-06-21,1.203
2025-06-22,1.008
2025-06-23,1.027
2025-06-24,0.989
2025-06-25,0.799
2025-06-26,0.62
2025-06-27,0.579
2025-06-28,0.427
2025-06-29,0.327
2025-06-30,0.389
2025-07-01,0.468
2025-07-02,0.425
2025-07-03,0.411
2025-07-04,0.442
2025-07-05,0.499
2025-07-06,0.529
2025-07-07,0.47
2025-07-08,0.453
2025-07-09,0.603
2025-07-10,0.678
2025-07-11,0.696
2025-07-12,0.65
2025-07-13,0.69
2025-07-14,0.788
2025-07-15,0.794
2025-07-16,0.64
2025-07-17,0.748
2025-07-18,0.925
2025-07-19,1.029
2025-07-20,0.946
2025-07-21,0.94
2025-07-22,0.907
2025-07-23,0.951
2025-07-24,0.942
2025-07-25,0.928
2025-07-26,0.764
2025-07-27,0.656
2025-07-28,0.554
2025-07-29,0.535
2025-07-30,0.394
2025-07-31,0.26
2025-08-01,0.278
2025-08-02,0.328
2025-08-03,0.377
2025-08-04,0.41
2025-08-05,0.416
2025-08-06,0.514
2025-08-07,0.583
2025-08-08,0.545
2025-08-09,0.571
2025-08-10,0.559
2025-08-11,0.623
2025-08-12,0.579
2025-08-13,0.465
2025-08-14,0.36
2025-08-15,0.389
2025-08-16,0.321
2025-08-17,0.386
2025-08-18,0.52
2025-08-19,0.756
2025-08-20,0.936
2025-08-21,0.996
2025-08-22,1.173
2025-08-23,1.287
2025-08-24,1.314
2025-08-25,1.19
2025-08-26,0.798
2025-08-27,0.961
2025-08-28,1.395
2025-08-29,1.455
2025-08-30,1.571
2025-08-31,1.59
2025-09-01,1.456
2025-09-02,0.877
2025-09-03,0.915
2025-09-04,0.804
2025-09-05,0.545
2025-09-06,0.374
2025-09-07,0.244
2025-09-08,0.127
2025-09-09,0.01
2025-09-10,0.052
2025-09-11,0.107
2025-09-12,0.188
2025-09-13,0.247
2025-09-14,0.338
2025-09-15,0.37
2025-09-16,0.439
2025-09-17,0.478
2025-09-18,0.409
2025-09-19,0.202
2025-09-20,0.292
2025-09-21,0.278
2025-09-22,0.207
2025-09-23,0.122
2025-09-24,0.072
2025-09-25,0.01
2025-09-26,0.011
2025-09-27,0.012
2025-09-28,0.011
2025-09-29,0.008
2025-09-30,0.011
