date,ET_mm
2024-10-01,0.063
2024-10-02,0.071
2024-10-03,0.056
2024-10-04,0.054
2024-10-05,0.038
2024-10-06,0.021
2024-10-07,0.016
2024-10-08,0.014
2024-10-09,0.012
2024-10-10,0.009
2024-10-11,0.008
2024-10-12,0.008
2024-10-13,0.006
2024-10-14,0.006
2024-10-15,0.006
2024-10-16,0.004
2024-10-17,0.005
2024-10-18,0.008
2024-10-19,0.004
2024-10-20,0.004
2024-10-21,0.005
2024-10-22,0.004
2024-10-23,0.005
2024-10-24,0.003
2024-10-25,0.003
2024-10-26,0.004
2024-10-27,0.003
2024-10-28,0.003
2024-10-29,0.003
2024-10-30,0.002
2024-10-31,0.003
2024-11-01,0.003
2024-11-02,0.002
2024-11-03,0.004
2024-11-04,0.004
2024-11-05,0.005
2024-11-06,0.005
2024-11-07,0.003
2024-11-08,0.002
2024-11-09,0.003
2024-11-10,0.035
2024-11-11,0.057
2024-11-12,0.086
2024-11-13,0.1
2024-11-14,0.15
2024-11-15,0.175
2024-11-16,0.259
2024-11-17,0.197
2024-11-18,0.344
2024-11-19,0.258
2024-11-20,0.587
2024-11-21,0.657
2024-11-22,0.534
2024-11-23,0.127
2024-11-24,0.162
2024-11-25,0.208
2024-11-26,0.073
2024-11-27,0.135
2024-11-28,0.153
2024-11-29,0.109
2024-11-30,0.114
2024-12-01,0.185
2024-12-02,0.15
2024-12-03,0.181
2024-12-04,0.158
2024-12-05,0.264
2024-12-06,0.223
2024-12-07,0.215
2024-12-08,0.247
2024-12-09,0.229
2024-12-10,0.317
2024-12-11,0.381
2024-12-12,0.323
2024-12-13,0.292
2024-12-14,0.378
2024-12-15,0.231
2024-12-16,0.289
2024-12-17,0.219
2024-12-18,0.235
2024-12-19,0.261
2024-12-20,0.323
2024-12-21,0.332
2024-12-22,0.472
2024-12-23,0.445
2024-12-24,0.142
2024-12-25,0.366
2024-12-26,0.498
2024-12-27,0.823
2024-12-28,0.492
2024-12-29,0.428
2024-12-30,0.333
2024-12-31,0.55
2025-01-01,0.447
2025-01-02,0.424
2025-01-03,0.404
2025-01-04,0.664
2025-01-05,0.547
2025-01-06,0.194
2025-01-07,0.568
2025-01-08,0.467
2025-01-09,0.51
2025-01-10,0.93
2025-01-11,1.446
2025-01-12,1.036
2025-01-13,0.679
2025-01-14,0.929
2025-01-15,1.049
2025-01-16,0.799
2025-01-17,0.999
2025-01-18,0.612
2025-01-19,0.721
2025-01-20,0.698
2025-01-21,0.848
2025-01-22,0.778
2025-01-23,1.057
2025-01-24,0.898
2025-01-25,0.65
2025-01-26,0.587
2025-01-27,0.927
2025-01-28,0.811
2025-01-29,0.71
2025-01-30,0.789
2025-01-31,0.82
2025-02-01,0.804
2025-02-02,1.01
2025-02-03,1.12
2025-02-04,0.358
2025-02-05,0.684
2025-02-06,1.198
2025-02-07,0.957
2025-02-08,1.615
2025-02-09,1.744
2025-02-10,1.713
2025-02-11,1.768
2025-02-12,1.541
2025-02-13,1.758
2025-02-14,0.938
2025-02-15,1.417
2025-02-16,1.339
2025-02-17,1.8
2025-02-18,2.133
2025-02-19,1.517
2025-02-20,1.963
2025-02-21,1.763
2025-02-22,2.03
2025-02-23,2.207
2025-02-24,1.894
2025-02-25,2.251
2025-02-26,2.026
2025-02-27,2.053
2025-02-28,2.438
2025-03-01,2.628
2025-03-02,1.395
2025-03-03,2.074
2025-03-04,1.446
2025-03-05,0.794
2025-03-06,1.586
2025-03-07,2.891
2025-03-08,2.751
2025-03-09,3.035
2025-03-10,2.525
2025-03-11,2.554
2025-03-12,2.194
2025-03-13,1.366
2025-03-14,1.138
2025-03-15,1.656
2025-03-16,2.115
2025-03-17,1.606
2025-03-18,2.504
2025-03-19,2.351
2025-03-20,2.822
2025-03-21,3.047
2025-03-22,2.179
2025-03-23,3.061
2025-03-24,3.076
2025-03-25,3.273
2025-03-26,3.008
2025-03-27,1.626
2025-03-28,2.098
2025-03-29,2.813
2025-03-30,2.171
2025-03-31,1.628
2025-04-01,1.571
2025-04-02,2.523
2025-04-03,2.681
2025-04-04,3.359
2025-04-05,3.081
2025-04-06,3.22
2025-04-07,2.726
2025-04-08,3.273
2025-04-09,3.399
2025-04-10,3.629
2025-04-11,3.398
2025-04-12,2.846
2025-04-13,3.454
2025-04-14,3.3
2025-04-15,2.815
2025-04-16,2.434
2025-04-17,2.196
2025-04-18,2.609
2025-04-19,2.585
2025-04-20,2.569
2025-04-21,2.622
2025-04-22,2.427
2025-04-23,2.033
2025-04-24,1.773
2025-04-25,1.305
2025-04-26,1.082
2025-04-27,0.779
2025-04-28,1.296
2025-04-29,1.594
2025-04-30,1.268
2025-05-01,1.455
2025-05-02,1.363
2025-05-03,0.923
2025-05-04,1.029
2025-05-05,1.111
2025-05-06,0.973
2025-05-07,0.704
2025-05-08,0.596
2025-05-09,0.492
2025-05-10,0.206
2025-05-11,0.167
2025-05-12,0.003
2025-05-13,0.09
2025-05-14,0.211
2025-05-15,0.339
2025-05-16,0.503
2025-05-17,0.523
2025-05-18,0.734
2025-05-19,1.049
2025-05-20,1.056
2025-05-21,1.097
2025-05-22,1.028
2025-05-23,0.8
2025-05-24,0.809
2025-05-25,0.759
2025-05-26,0.697
2025-05-27,0.671
2025-05-28,0.669
2025-05-29,0.685
2025-05-30,0.652
2025-05-31,0.711
2025-06-01,0.537
2025-06-02,0.401
2025-06-03,0.401
2025-06-04,0.405
2025-06-05,0.335
2025-06-06,0.346
2025-06-07,0.411
2025-06-08,0.403
2025-06-09,0.483
2025-06-10,0.486
2025-06-11,0.506
2025-06-12,0.536
2025-06-13,0.571
2025-06-14,0.547
2025-06-15,0.66
2025-06-16,0.747
2025-06-17,0.767
2025-06-18,0.912
2025-06-19,0.879
2025-06-20,0.763
2025-06-21,0.824
2025-06-22,0.683
2025-06-23,0.686
2025-06-24,0.649
2025-06-25,0.513
2025-06-26,0.386
2025-06-27,0.345
2025-06-28,0.238
2025-06-29,0.162
2025-06-30,0.2
2025-07-01,0.25
2025-07-02,0.233
2025-07-03,0.232
2025-07-04,0.254
2025-07-05,0.293
2025-07-06,0.317
2025-07-07,0.286
2025-07-08,0.271
2025-07-09,0.354
2025-07-10,0.392
2025-07-11,0.397
2025-07-12,0.366
2025-07-13,0.383
2025-07-14,0.432
2025-07-15,0.43
2025-07-16,0.346
2025-07-17,0.405
2025-07-18,0.5
2025-07-19,0.556
2025-07-20,0.511
2025-07-21,0.508
2025-07-22,0.49
2025-07-23,0.513
2025-07-24,0.522
2025-07-25,0.531
2025-07-26,0.455
2025-07-27,0.411
2025-07-28,0.371
2025-07-29,0.393
2025-07-30,0.332
2025-07-31,0.274
2025-08-01,0.255
2025-08-02,0.267
2025-08-03,0.276
2025-08-04,0.272
2025-08-05,0.254
2025-08-06,0.289
2025-08-07,0.305
2025-08-08,0.267
2025-08-09,0.27
2025-08-10,0.254
2025-08-11,0.271
2025-08-12,0.239
2025-08-13,0.181
2025-08-14,0.131
2025-08-15,0.13
2025-08-16,0.097
2025-08-17,0.102
2025-08-18,0.125
2025-08-19,0.17
2025-08-20,0.198
2025-08-21,0.201
2025-08-22,0.228
2025-08-23,0.242
2025-08-24,0.24
2025-08-25,0.229
2025-08-26,0.162
2025-08-27,0.204
2025-08-28,0.308
2025-08-29,0.334
2025-08-30,0.374
2025-08-31,0.392
2025-09-01,0.37
2025-09-02,0.231
2025-09-03,0.253
2025-09-04,0.236
2025-09-05,0.174
2025-09-06,0.136
2025-09-07,0.109
2025-09-08,0.087
2025-09-09,0.057
2025-09-10,0.047
2025-09-11,0.053
2025-09-12,0.063
2025-09-13,0.062
2025-09-14,0.067
2025-09-15,0.061
2025-09-16,0.062
2025-09-17,0.058
2025-09-18,0.148
2025-09-19,0.137
2025-09-20,0.327
2025-09-21,0.492
2025-09-22,0.583
2025-09-23,0.591
2025-09-24,0.728
2025-09-25,0.67
2025-09-26,0.602
2025-09-27,0.545
2025-09-28,0.381
2025-09-29,0.212
2025-09-30,0.218
