date,ET_mm
2024-10-01,0.674
2024-10-02,0.827
2024-10-03,0.716
2024-10-04,0.782
2024-10-05,0.646
2024-10-06,0.444
2024-10-07,0.458
2024-10-08,0.631
2024-10-09,0.587
2024-10-10,0.487
2024-10-11,0.502
2024-10-12,0.497
2024-10-13,0.396
2024-10-14,0.452
2024-10-15,0.497
2024-10-16,0.394
2024-10-17,0.506
2024-10-18,0.848
2024-10-19,0.482
2024-10-20,0.521
2024-10-21,0.676
2024-10-22,0.586
2024-10-23,0.776
2024-10-24,0.558
2024-10-25,0.49
2024-10-26,0.722
2024-10-27,0.517
2024-10-28,0.422
2024-10-29,0.455
2024-10-30,0.345
2024-10-31,0.459
2024-11-01,0.471
2024-11-02,0.254
2024-11-03,0.604
2024-11-04,0.585
2024-11-05,0.653
2024-11-06,0.617
2024-11-07,0.341
2024-11-08,0.283
2024-11-09,0.381
2024-11-10,0.349
2024-11-11,0.324
2024-11-12,0.36
2024-11-13,0.347
2024-11-14,0.453
2024-11-15,0.473
2024-11-16,0.646
2024-11-17,0.458
2024-11-18,0.866
2024-11-19,0.698
2024-11-20,1.701
2024-11-21,2.029
2024-11-22,1.749
2024-11-23,0.44
2024-11-24,0.592
2024-11-25,0.796
2024-11-26,0.293
2024-11-27,0.563
2024-11-28,0.668
2024-11-29,0.493
2024-11-30,0.539
2024-12-01,0.903
2024-12-02,0.756
2024-12-03,0.946
2024-12-04,0.775
2024-12-05,1.211
2024-12-06,0.963
2024-12-07,0.874
2024-12-08,0.948
2024-12-09,0.831
2024-12-10,1.089
2024-12-11,1.243
2024-12-12,1.002
2024-12-13,0.859
2024-12-14,1.061
2024-12-15,0.617
2024-12-16,0.736
2024-12-17,0.532
2024-12-18,0.545
2024-12-19,0.58
2024-12-20,0.685
2024-12-21,0.674
2024-12-22,0.918
2024-12-23,0.829
2024-12-24,0.253
2024-12-25,0.626
2024-12-26,0.815
2024-12-27,1.292
2024-12-28,0.741
2024-12-29,0.618
2024-12-30,0.462
2024-12-31,0.732
2025-01-01,0.572
2025-01-02,0.52
2025-01-03,0.476
2025-01-04,0.75
2025-01-05,0.593
2025-01-06,0.202
2025-01-07,0.568
2025-01-08,0.448
2025-01-09,0.469
2025-01-10,0.821
2025-01-11,1.223
2025-01-12,0.84
2025-01-13,0.569
2025-01-14,0.805
2025-01-15,0.939
2025-01-16,0.737
2025-01-17,0.95
2025-01-18,0.599
2025-01-19,0.726
2025-01-20,0.723
2025-01-21,0.902
2025-01-22,0.849
2025-01-23,1.184
2025-01-24,1.03
2025-01-25,0.765
2025-01-26,0.706
2025-01-27,1.143
2025-01-28,1.022
2025-01-29,1.007
2025-01-30,1.227
2025-01-31,1.375
2025-02-01,1.433
2025-02-02,1.883
2025-02-03,1.98
2025-02-04,0.601
2025-02-05,1.444
2025-02-06,1.921
2025-02-07,1.535
2025-02-08,2.592
2025-02-09,2.799
2025-02-10,2.75
2025-02-11,2.839
2025-02-12,2.475
2025-02-13,2.824
2025-02-14,1.465
2025-02-15,2.126
2025-02-16,1.928
2025-02-17,2.481
2025-02-18,2.808
2025-02-19,1.904
2025-02-20,2.345
2025-02-21,1.997
2025-02-22,2.264
2025-02-23,2.421
2025-02-24,2.044
2025-02-25,2.386
2025-02-26,2.109
2025-02-27,2.096
2025-02-28,2.439
2025-03-01,2.575
2025-03-02,1.34
2025-03-03,1.954
2025-03-04,1.337
2025-03-05,0.721
2025-03-06,1.416
2025-03-07,2.539
2025-03-08,2.377
2025-03-09,2.582
2025-03-10,2.188
2025-03-11,2.254
2025-03-12,1.971
2025-03-13,1.249
2025-03-14,1.06
2025-03-15,1.569
2025-03-16,2.04
2025-03-17,1.576
2025-03-18,2.5
2025-03-19,2.388
2025-03-20,2.916
2025-03-21,3.202
2025-03-22,2.329
2025-03-23,3.328
2025-03-24,3.4
2025-03-25,3.678
2025-03-26,3.375
2025-03-27,1.821
2025-03-28,2.346
2025-03-29,3.141
2025-03-30,2.419
2025-03-31,1.812
2025-04-01,1.746
2025-04-02,2.798
2025-04-03,2.967
2025-04-04,3.712
2025-04-05,3.398
2025-04-06,3.544
2025-04-07,2.995
2025-04-08,3.59
2025-04-09,3.72
2025-04-10,3.964
2025-04-11,3.764
2025-04-12,3.2
2025-04-13,3.944
2025-04-14,3.832
2025-04-15,3.325
2025-04-16,2.928
2025-04-17,2.693
2025-04-18,3.267
2025-04-19,3.308
2025-04-20,3.364
2025-04-21,3.521
2025-04-22,3.347
2025-04-23,2.885
2025-04-24,2.594
2025-04-25,1.974
2025-04-26,1.697
2025-04-27,1.269
2025-04-28,2.206
2025-04-29,2.842
2025-04-30,2.381
2025-05-01,2.896
2025-05-02,2.896
2025-05-03,2.11
2025-05-04,2.558
2025-05-05,2.963
2025-05-06,2.833
2025-05-07,2.288
2025-05-08,2.239
2025-05-09,2.264
2025-05-10,1.293
2025-05-11,1.872
2025-05-12,1.056
2025-05-13,1.176
2025-05-14,1.371
2025-05-15,1.439
2025-05-16,1.561
2025-05-17,1.266
2025-05-18,1.442
2025-05-19,1.716
2025-05-20,1.467
2025-05-21,1.566
2025-05-22,1.512
2025-05-23,1.215
2025-05-24,1.27
2025-05-25,1.234
2025-05-26,1.178
2025-05-27,1.182
2025-05-28,1.232
2025-05-29,1.319
2025-05-30,1.319
2025-05-31,1.519
2025-06-01,1.219
2025-06-02,0.972
2025-06-03,1.046
2025-06-04,1.152
2025-06-05,1.05
2025-06-06,0.961
2025-06-07,1.011
2025-06-08,0.878
2025-06-09,0.929
2025-06-10,0.823
2025-06-11,0.752
2025-06-12,0.694
2025-06-13,0.639
2025-06-14,0.623
2025-06-15,0.765
2025-06-16,0.878
2025-06-17,0.914
2025-06-18,1.099
2025-06-19,1.069
2025-06-20,0.937
2025-06-21,1.021
2025-06-22,0.93
2025-06-23,1.042
2025-06-24,1.113
2025-06-25,1.014
2025-06-26,0.904
2025-06-27,0.994
2025-06-28,0.895
2025-06-29,0.885
2025-06-30,0.987
2025-07-01,1.117
2025-07-02,0.954
2025-07-03,0.874
2025-07-04,0.889
2025-07-05,0.955
2025-07-06,0.963
2025-07-07,0.816
2025-07-08,0.738
2025-07-09,0.922
2025-07-10,0.975
2025-07-11,0.942
2025-07-12,0.829
2025-07-13,0.829
2025-07-14,0.892
2025-07-15,0.848
2025-07-16,0.653
2025-07-17,0.735
2025-07-18,0.879
2025-07-19,0.949
2025-07-20,0.849
2025-07-21,0.825
2025-07-22,0.779
2025-07-23,0.801
2025-07-24,0.839
2025-07-25,0.882
2025-07-26,0.785
2025-07-27,0.741
2025-07-28,0.706
2025-07-29,0.796
2025-07-30,0.727
2025-07-31,0.663
2025-08-01,0.619
2025-08-02,0.651
2025-08-03,0.675
2025-08-04,0.669
