date,ET_mm
2024-10-01,0.599
2024-10-02,0.768
2024-10-03,0.697
2024-10-04,0.798
2024-10-05,0.693
2024-10-06,0.503
2024-10-07,0.548
2024-10-08,0.802
2024-10-09,0.7
2024-10-10,0.546
2024-10-11,0.531
2024-10-12,0.499
2024-10-13,0.378
2024-10-14,0.411
2024-10-15,0.432
2024-10-16,0.328
2024-10-17,0.404
2024-10-18,0.652
2024-10-19,0.357
2024-10-20,0.372
2024-10-21,0.467
2024-10-22,0.391
2024-10-23,0.502
2024-10-24,0.35
2024-10-25,0.307
2024-10-26,0.453
2024-10-27,0.324
2024-10-28,0.264
2024-10-29,0.285
2024-10-30,0.216
2024-10-31,0.287
2024-11-01,0.294
2024-11-02,0.159
2024-11-03,0.377
2024-11-04,0.365
2024-11-05,0.407
2024-11-06,0.384
2024-11-07,0.212
2024-11-08,0.176
2024-11-09,0.237
2024-11-10,0.194
2024-11-11,0.164
2024-11-12,0.167
2024-11-13,0.149
2024-11-14,0.181
2024-11-15,0.177
2024-11-16,0.227
2024-11-17,0.152
2024-11-18,0.281
2024-11-19,0.222
2024-11-20,0.532
2024-11-21,0.626
2024-11-22,0.532
2024-11-23,0.132
2024-11-24,0.176
2024-11-25,0.234
2024-11-26,0.086
2024-11-27,0.163
2024-11-28,0.192
2024-11-29,0.141
2024-11-30,0.153
2024-12-01,0.255
2024-12-02,0.212
2024-12-03,0.264
2024-12-04,0.234
2024-12-05,0.393
2024-12-06,0.335
2024-12-07,0.326
2024-12-08,0.377
2024-12-09,0.352
2024-12-10,0.49
2024-12-11,0.593
2024-12-12,0.506
2024-12-13,0.458
2024-12-14,0.597
2024-12-15,0.366
2024-12-16,0.46
2024-12-17,0.349
2024-12-18,0.376
2024-12-19,0.42
2024-12-20,0.521
2024-12-21,0.537
2024-12-22,0.765
2024-12-23,0.724
2024-12-24,0.231
2024-12-25,0.598
2024-12-26,0.814
2024-12-27,1.348
2024-12-28,0.808
2024-12-29,0.703
2024-12-30,0.549
2024-12-31,0.907
2025-01-01,0.739
2025-01-02,0.702
2025-01-03,0.67
2025-01-04,1.103
2025-01-05,0.909
2025-01-06,0.324
2025-01-07,0.947
2025-01-08,0.779
2025-01-09,0.852
2025-01-10,1.556
2025-01-11,2.423
2025-01-12,1.737
2025-01-13,1.139
2025-01-14,1.561
2025-01-15,1.764
2025-01-16,1.344
2025-01-17,1.683
2025-01-18,1.032
2025-01-19,1.217
2025-01-20,1.179
2025-01-21,1.434
2025-01-22,1.316
2025-01-23,1.791
2025-01-24,1.522
2025-01-25,1.104
2025-01-26,0.996
2025-01-27,1.577
2025-01-28,1.38
2025-01-29,1.131
2025-01-30,1.182
2025-01-31,1.16
2025-02-01,1.078
2025-02-02,1.289
2025-02-03,1.363
2025-02-04,0.416
2025-02-05,0.763
2025-02-06,1.335
2025-02-07,1.066
2025-02-08,1.798
2025-02-09,1.94
2025-02-10,1.903
2025-02-11,1.963
2025-02-12,1.71
2025-02-13,1.949
2025-02-14,1.04
2025-02-15,1.568
2025-02-16,1.481
2025-02-17,1.99
2025-02-18,2.356
2025-02-19,1.674
2025-02-20,2.166
2025-02-21,1.943
2025-02-22,2.272
2025-02-23,2.508
2025-02-24,2.186
2025-02-25,2.639
2025-02-26,2.414
2025-02-27,2.485
2025-02-28,2.998
2025-03-01,3.285
2025-03-02,1.689
2025-03-03,2.434
2025-03-04,1.647
2025-03-05,0.878
2025-03-06,1.704
2025-03-07,3.02
2025-03-08,2.796
2025-03-09,3.002
2025-03-10,2.491
2025-03-11,2.512
2025-03-12,2.152
2025-03-13,1.335
2025-03-14,1.11
2025-03-15,1.609
2025-03-16,2.049
2025-03-17,1.551
2025-03-18,2.411
2025-03-19,2.256
2025-03-20,2.7
2025-03-21,2.906
2025-03-22,2.071
2025-03-23,2.9
2025-03-24,2.904
2025-03-25,3.079
2025-03-26,2.821
2025-03-27,1.52
2025-03-28,1.954
2025-03-29,2.611
2025-03-30,2.008
2025-03-31,1.501
2025-04-01,1.444
2025-04-02,2.31
2025-04-03,2.445
2025-04-04,3.052
2025-04-05,2.789
2025-04-06,2.903
2025-04-07,2.448
2025-04-08,2.928
2025-04-09,3.028
2025-04-10,3.219
2025-04-11,3.008
2025-04-12,2.514
2025-04-13,3.045
2025-04-14,2.902
2025-04-15,2.469
2025-04-16,2.129
2025-04-17,1.915
2025-04-18,2.268
2025-04-19,2.239
2025-04-20,2.216
2025-04-21,2.252
2025-04-22,2.075
2025-04-23,1.73
2025-04-24,1.5
2025-04-25,1.097
2025-04-26,0.903
2025-04-27,0.644
2025-04-28,1.062
2025-04-29,1.291
2025-04-30,1.013
2025-05-01,1.145
2025-05-02,1.053
2025-05-03,0.696
2025-05-04,0.753
2025-05-05,0.903
2025-05-06,0.898
2025-05-07,0.756
2025-05-08,0.776
2025-05-09,0.826
2025-05-10,0.501
2025-05-11,0.775
2025-05-12,0.472
2025-05-13,0.528
2025-05-14,0.619
2025-05-15,0.653
2025-05-16,0.712
2025-05-17,0.581
2025-05-18,0.665
2025-05-19,0.797
2025-05-20,0.686
2025-05-21,0.741
2025-05-22,0.724
2025-05-23,0.589
2025-05-24,0.623
2025-05-25,0.614
2025-05-26,0.594
2025-05-27,0.604
2025-05-28,0.638
2025-05-29,0.687
2025-05-30,0.692
2025-05-31,0.803
2025-06-01,0.649
2025-06-02,0.521
2025-06-03,0.565
2025-06-04,0.628
2025-06-05,0.577
2025-06-06,0.513
2025-06-07,0.521
2025-06-08,0.435
2025-06-09,0.438
2025-06-10,0.366
2025-06-11,0.31
2025-06-12,0.259
2025-06-13,0.209
2025-06-14,0.212
2025-06-15,0.27
2025-06-16,0.318
2025-06-17,0.339
2025-06-18,0.417
2025-06-19,0.413
2025-06-20,0.368
2025-06-21,0.407
2025-06-22,0.386
2025-06-23,0.45
2025-06-24,0.5
2025-06-25,0.473
2025-06-26,0.438
2025-06-27,0.5
2025-06-28,0.467
2025-06-29,0.478
2025-06-30,0.529
2025-07-01,0.594
2025-07-02,0.503
2025-07-03,0.457
2025-07-04,0.461
2025-07-05,0.491
2025-07-06,0.491
2025-07-07,0.412
2025-07-08,0.382
2025-07-09,0.49
2025-07-10,0.531
2025-07-11,0.527
2025-07-12,0.476
2025-07-13,0.489
2025-07-14,0.542
2025-07-15,0.53
2025-07-16,0.376
2025-07-17,0.391
2025-07-18,0.432
2025-07-19,0.433
2025-07-20,0.359
2025-07-21,0.324
2025-07-22,0.284
2025-07-23,0.271
2025-07-24,0.291
2025-07-25,0.314
2025-07-26,0.288
2025-07-27,0.281
2025-07-28,0.277
2025-07-29,0.324
2025-07-30,0.309
2025-07-31,0.295
2025-08-01,0.286
2025-08-02,0.312
2025-08-03,0.335
2025-08-04,0.343
2025-08-05,0.331
2025-08-06,0.39
2025-08-07,0.425
2025-08-08,0.383
2025-08-09,0.391
2025-08-10,0.372
2025-08-11,0.402
2025-08-12,0.36
2025-08-13,0.277
2025-08-14,0.205
2025-08-15,0.21
2025-08-16,0.162
2025-08-17,0.171
2025-08-18,0.209
2025-08-19,0.282
2025-08-20,0.329
2025-08-21,0.334
2025-08-22,0.377
2025-08-23,0.4
2025-08-24,0.397
2025-08-25,0.342
2025-08-26,0.218
2025-08-27,0.249
2025-08-28,0.343
2025-08-29,0.339
2025-08-30,0.346
2025-08-31,0.331
2025-09-01,0.286
2025-09-02,0.191
2025-09-03,0.226
2025-09-04,0.231
2025-09-05,0.189
2025-09-06,0.166
2025-09-07,0.155
2025-09-08,0.149
2025-09-09,0.126
2025-09-10,0.114
2025-09-11,0.138
2025-09-12,0.177
2025-09-13,0.187
2025-09-14,0.219
2025-09-15,0.213
2025-09-16,0.228
2025-09-17,0.229
2025-09-18,0.235
2025-09-19,0.141
2025-09-20,0.254
