date,ET_mm
2024-10-01,0.0
2024-10-02,0.0
2024-10-03,0.0
2024-10-04,0.0
2024-10-05,0.0
2024-10-06,0.0
2024-10-07,0.0
2024-10-08,0.0
2024-10-09,0.0
2024-10-10,0.0
2024-10-11,0.0
2024-10-12,0.0
2024-10-13,0.0
2024-10-14,0.0
2024-10-15,0.0
2024-10-16,0.0
2024-10-17,0.0
2024-10-18,0.0
2024-10-19,0.0
2024-10-20,0.0
2024-10-21,0.0
2024-10-22,0.0
2024-10-23,0.0
2024-10-24,0.0
2024-10-25,0.0
2024-10-26,0.0
2024-10-27,0.0
2024-10-28,0.0
2024-10-29,0.0
2024-10-30,0.0
2024-10-31,0.0
2024-11-01,0.0
2024-11-02,0.0
2024-11-03,0.0
2024-11-04,0.0
2024-11-05,0.0
2024-11-06,0.0
2024-11-07,0.0
2024-11-08,0.0
2024-11-09,0.0
2024-11-10,0.007
2024-11-11,0.011
2024-11-12,0.017
2024-11-13,0.02
2024-11-14,0.03
2024-11-15,0.035
2024-11-16,0.053
2024-11-17,0.04
2024-11-18,0.09
2024-11-19,0.082
2024-11-20,0.221
2024-11-21,0.285
2024-11-22,0.262
2024-11-23,0.069
2024-11-24,0.098
2024-11-25,0.137
2024-11-26,0.052
2024-11-27,0.103
2024-11-28,0.126
2024-11-29,0.095
2024-11-30,0.106
2024-12-01,0.181
2024-12-02,0.154
2024-12-03,0.196
2024-12-04,0.178
2024-12-05,0.307
2024-12-06,0.268
2024-12-07,0.265
2024-12-08,0.312
2024-12-09,0.295
2024-12-10,0.416
2024-12-11,0.509
2024-12-12,0.439
2024-12-13,0.402
2024-12-14,0.528
2024-12-15,0.326
2024-12-16,0.413
2024-12-17,0.316
2024-12-18,0.342
2024-12-19,0.384
2024-12-20,0.479
2024-12-21,0.496
2024-12-22,0.711
2024-12-23,0.675
2024-12-24,0.216
2024-12-25,0.563
2024-12-26,0.769
2024-12-27,1.278
2024-12-28,0.768
2024-12-29,0.671
2024-12-30,0.526
2024-12-31,0.871
2025-01-01,0.712
2025-01-02,0.678
2025-01-03,0.649
2025-01-04,1.069
2025-01-05,0.884
2025-01-06,0.315
2025-01-07,0.925
2025-01-08,0.762
2025-01-09,0.835
2025-01-10,1.528
2025-01-11,2.382
2025-01-12,1.711
2025-01-13,1.121
2025-01-14,1.536
2025-01-15,1.735
2025-01-16,1.321
2025-01-17,1.652
2025-01-18,1.012
2025-01-19,1.194
2025-01-20,1.156
2025-01-21,1.405
2025-01-22,1.289
2025-01-23,1.752
2025-01-24,1.488
2025-01-25,1.079
2025-01-26,0.973
2025-01-27,1.539
2025-01-28,1.346
2025-01-29,1.102
2025-01-30,1.15
2025-01-31,1.129
2025-02-01,1.047
2025-02-02,1.251
2025-02-03,1.322
2025-02-04,0.403
2025-02-05,0.739
2025-02-06,1.295
2025-02-07,1.034
2025-02-08,1.747
2025-02-09,1.886
2025-02-10,1.853
2025-02-11,1.914
2025-02-12,1.669
2025-02-13,1.904
2025-02-14,1.016
2025-02-15,1.535
2025-02-16,1.452
2025-02-17,1.952
2025-02-18,2.313
2025-02-19,1.646
2025-02-20,2.131
2025-02-21,1.914
2025-02-22,2.287
2025-02-23,2.579
2025-02-24,2.295
2025-02-25,2.826
2025-02-26,2.635
2025-02-27,2.764
2025-02-28,3.398
2025-03-01,3.791
2025-03-02,1.949
2025-03-03,2.806
2025-03-04,1.897
2025-03-05,1.011
2025-03-06,1.961
2025-03-07,3.472
2025-03-08,3.213
2025-03-09,3.448
2025-03-10,2.86
2025-03-11,2.883
2025-03-12,2.468
2025-03-13,1.531
2025-03-14,1.271
2025-03-15,1.843
2025-03-16,2.345
2025-03-17,1.774
2025-03-18,2.757
2025-03-19,2.579
