date,ET_mm
2024-10-01,0.002
2024-10-02,0.004
2024-10-03,0.006
2024-10-04,0.008
2024-10-05,0.009
2024-10-06,0.008
2024-10-07,0.01
2024-10-08,0.017
2024-10-09,0.014
2024-10-10,0.01
2024-10-11,0.009
2024-10-12,0.008
2024-10-13,0.005
2024-10-14,0.005
2024-10-15,0.005
2024-10-16,0.003
2024-10-17,0.004
2024-10-18,0.005
2024-10-19,0.002
2024-10-20,0.002
2024-10-21,0.002
2024-10-22,0.001
2024-10-23,0.001
2024-10-24,0.0
2024-10-25,0.0
2024-10-26,0.0
2024-10-27,0.0
2024-10-28,0.0
2024-10-29,0.0
2024-10-30,0.0
2024-10-31,0.0
2024-11-01,0.0
2024-11-02,0.0
2024-11-03,0.0
2024-11-04,0.0
2024-11-05,0.0
2024-11-06,0.0
2024-11-07,0.0
2024-11-08,0.0
2024-11-09,0.0
2024-11-10,0.0
2024-11-11,0.0
2024-11-12,0.0
2024-11-13,0.0
2024-11-14,0.0
2024-11-15,0.0
2024-11-16,0.0
2024-11-17,0.0
2024-11-18,0.0
2024-11-19,0.0
2024-11-20,0.0
2024-11-21,0.0
2024-11-22,0.0
2024-11-23,0.0
2024-11-24,0.0
2024-11-25,0.0
2024-11-26,0.0
2024-11-27,0.0
2024-11-28,0.0
2024-11-29,0.0
2024-11-30,0.0
2024-12-01,0.0
2024-12-02,0.0
2024-12-03,0.0
2024-12-04,0.011
2024-12-05,0.034
2024-12-06,0.041
2024-12-07,0.05
2024-12-08,0.068
2024-12-09,0.073
2024-12-10,0.113
2024-12-11,0.149
2024-12-12,0.137
2024-12-13,0.133
2024-12-14,0.183
2024-12-15,0.118
2024-12-16,0.155
2024-12-17,0.122
2024-12-18,0.136
2024-12-19,0.157
2024-12-20,0.2
2024-12-21,0.212
2024-12-22,0.31
2024-12-23,0.299
2024-12-24,0.098
2024-12-25,0.257
2024-12-26,0.357
2024-12-27,0.601
2024-12-28,0.366
2024-12-29,0.323
2024-12-30,0.256
2024-12-31,0.428
2025-01-01,0.353
2025-01-02,0.339
2025-01-03,0.327
2025-01-04,0.543
2025-01-05,0.453
2025-01-06,0.163
2025-01-07,0.48
2025-01-08,0.398
2025-01-09,0.439
2025-01-10,0.807
2025-01-11,1.266
2025-01-12,0.914
2025-01-13,0.603
2025-01-14,0.832
2025-01-15,0.946
2025-01-16,0.725
2025-01-17,0.913
2025-01-18,0.563
2025-01-19,0.669
2025-01-20,0.652
2025-01-21,0.797
2025-01-22,0.736
2025-01-23,1.008
2025-01-24,0.861
2025-01-25,0.628
2025-01-26,0.57
2025-01-27,0.908
2025-01-28,0.799
2025-01-29,0.717
2025-01-30,0.812
2025-01-31,0.859
2025-02-01,0.855
2025-02-02,1.089
2025-02-03,1.221
2025-02-04,0.394
2025-02-05,0.761
2025-02-06,1.308
2025-02-07,1.025
2025-02-08,1.698
2025-02-09,1.797
2025-02-10,1.73
2025-02-11,1.749
2025-02-12,1.493
2025-02-13,1.666
2025-02-14,0.87
2025-02-15,1.284
2025-02-16,1.187
2025-02-17,1.558
2025-02-18,1.802
2025-02-19,1.25
2025-02-20,1.578
2025-02-21,1.38
2025-02-22,1.635
2025-02-23,1.829
2025-02-24,1.615
2025-02-25,1.974
2025-02-26,1.827
2025-02-27,1.904
2025-02-28,2.325
2025-03-01,2.577
2025-03-02,1.369
2025-03-03,2.036
2025-03-04,1.42
2025-03-05,0.78
2025-03-06,1.56
2025-03-07,2.844
2025-03-08,2.707
2025-03-09,2.988
2025-03-10,2.467
2025-03-11,2.475
2025-03-12,2.109
2025-03-13,1.302
2025-03-14,1.076
2025-03-15,1.552
2025-03-16,1.965
2025-03-17,1.479
2025-03-18,2.285
2025-03-19,2.126
2025-03-20,2.528
2025-03-21,2.704
2025-03-22,1.915
2025-03-23,2.663
2025-03-24,2.649
2025-03-25,2.789
2025-03-26,2.525
2025-03-27,1.344
2025-03-28,1.707
2025-03-29,2.252
2025-03-30,1.709
2025-03-31,1.26
2025-04-01,1.195
2025-04-02,1.883
2025-04-03,1.963
2025-04-04,2.412
2025-04-05,2.168
