date,ET_mm
2024-10-01,0.0
2024-10-02,0.0
2024-10-03,0.0
2024-10-04,0.0
2024-10-05,0.0
2024-10-06,0.0
2024-10-07,0.0
2024-10-08,0.0
2024-10-09,0.0
2024-10-10,0.0
2024-10-11,0.0
2024-10-12,0.0
2024-10-13,0.0
2024-10-14,0.0
2024-10-15,0.0
2024-10-16,0.0
2024-10-17,0.0
2024-10-18,0.0
2024-10-19,0.0
2024-10-20,0.0
2024-10-21,0.0
2024-10-22,0.0
2024-10-23,0.0
2024-10-24,0.0
2024-10-25,0.0
2024-10-26,0.0
2024-10-27,0.0
2024-10-28,0.0
2024-10-29,0.0
2024-10-30,0.0
2024-10-31,0.0
2024-11-01,0.0
2024-11-02,0.0
2024-11-03,0.0
2024-11-04,0.0
2024-11-05,0.0
2024-11-06,0.0
2024-11-07,0.0
2024-11-08,0.0
2024-11-09,0.0
2024-11-10,0.151
2024-11-11,0.253
2024-11-12,0.384
2024-11-13,0.453
2024-11-14,0.682
2024-11-15,0.794
2024-11-16,1.181
2024-11-17,0.898
2024-11-18,1.464
2024-11-19,1.019
2024-11-20,2.145
2024-11-21,2.209
2024-11-22,1.639
2024-11-23,0.353
2024-11-24,0.404
2024-11-25,0.458
2024-11-26,0.14
2024-11-27,0.221
2024-11-28,0.208
2024-11-29,0.118
2024-11-30,0.093
2024-12-01,0.099
2024-12-02,0.04
2024-12-03,0.0
2024-12-04,0.005
2024-12-05,0.015
2024-12-06,0.018
2024-12-07,0.022
2024-12-08,0.03
2024-12-09,0.032
2024-12-10,0.049
2024-12-11,0.065
2024-12-12,0.06
2024-12-13,0.058
2024-12-14,0.08
2024-12-15,0.051
2024-12-16,0.067
2024-12-17,0.053
2024-12-18,0.059
2024-12-19,0.068
2024-12-20,0.087
2024-12-21,0.092
2024-12-22,0.135
2024-12-23,0.13
2024-12-24,0.042
2024-12-25,0.112
2024-12-26,0.155
2024-12-27,0.261
2024-12-28,0.159
2024-12-29,0.14
2024-12-30,0.111
2024-12-31,0.186
2025-01-01,0.153
2025-01-02,0.147
2025-01-03,0.142
2025-01-04,0.236
2025-01-05,0.197
2025-01-06,0.071
2025-01-07,0.208
2025-01-08,0.173
2025-01-09,0.191
2025-01-10,0.351
2025-01-11,0.55
2025-01-12,0.397
2025-01-13,0.244
2025-01-14,0.312
2025-01-15,0.327
2025-01-16,0.23
2025-01-17,0.263
2025-01-18,0.147
2025-01-19,0.156
2025-01-20,0.134
2025-01-21,0.142
2025-01-22,0.112
2025-01-23,0.127
2025-01-24,0.086
2025-01-25,0.047
2025-01-26,0.028
2025-01-27,0.022
2025-01-28,0.0
2025-01-29,0.075
2025-01-30,0.156
2025-01-31,0.229
2025-02-01,0.282
2025-02-02,0.419
2025-02-03,0.528
2025-02-04,0.187
2025-02-05,0.39
2025-02-06,0.706
2025-02-07,0.582
2025-02-08,1.013
2025-02-09,1.127
2025-02-10,1.139
2025-02-11,1.209
2025-02-12,1.083
2025-02-13,1.269
2025-02-14,0.695
2025-02-15,1.077
2025-02-16,1.043
2025-02-17,1.437
2025-02-18,1.743
2025-02-19,1.269
2025-02-20,1.68
2025-02-21,1.542
2025-02-22,1.734
2025-02-23,1.839
2025-02-24,1.538
2025-02-25,1.779
2025-02-26,1.556
2025-02-27,1.53
2025-02-28,1.759
2025-03-01,1.833
2025-03-02,0.958
2025-03-03,1.402
2025-03-04,0.963
2025-03-05,0.521
2025-03-06,1.027
2025-03-07,1.848
2025-03-08,1.736
2025-03-09,1.892
2025-03-10,1.626
2025-03-11,1.698
2025-03-12,1.505
2025-03-13,0.966
2025-03-14,0.829
2025-03-15,1.243
2025-03-16,1.633
2025-03-17,1.276
2025-03-18,2.046
2025-03-19,1.974
